text,lat,long,user_name,location,user_location
"Smoke from a nearby fire clouds out the sun. @ Sherman Oaks, California https://t.co/iRMRyRvVyP",34.13699572196467,-118.57319189065151,jasonTgervais,"Los Angeles, CA","Sherman Oaks, CA"
"Morning commute to work and also an update on the #GettyFire
I-405 North, 6:15AM.
#Fire #LA #GettyCenter… https://t.co/cfWfoBAvA1",34.07271083731946,-118.46652030944824,kylenitch,I-405 / Sunset Blvd.,"Santa Monica, CA"
Nothing like an early morning fire to start off the week. #gettyfire2019 #manicmonday #sunsetoverpass #brushfire… https://t.co/E91K3ULuwx,33.837314944288316,-118.24866741745063,kellieaiken,"Los Angeles, CA","Los Angeles, CA"
"As you can imagine lots of folks stopping to take photos of the fire, which is burning dangerously close to homes… https://t.co/vdkKAZ2sEl",34.07271083731946,-118.46652030944824,richdemuro,I-405 / Sunset Blvd.,"Los Angeles, CA"
So there’s a fire right by me but the winds blowing the opposite way so I still have class?? Dis shit ghetto,34.0723044252398,-118.45197156496816,Julietteyooo,UCLA Rieber Vista,
Just drove through this on the 405 ... Getty Center is on the hill that’s on fire; I couldn’t see it through the fl… https://t.co/9iNjneO5Z7,34.00535166859719,-118.55449501669695,KenKamlet,"Los Angeles, CA","Winnetka, CA"
Burbank Woodley Lake Balboa Fire #2 @ 101N https://t.co/Vqv3qLnv1z,33.99345511094027,-118.25217196520335,blogstradamus,"Los Angeles, CA",Freeways of California
"Fire burning out of control just off the Getty Center, Drive. It’s threatening what are most important museums in t… https://t.co/Fo9SCIytXk",33.74510335285902,-118.5687497225586,mattgutmanABC,"Los Angeles, CA","Los Angeles, CA"
i just drove past here on the 405 over the weekend thinking it’s VERY prone for fire danger… stay safe &amp; best wishe… https://t.co/eOPD0LfuJu,34.06720072592651,-118.43999862670898,siushi,Westwood,626 • los angeles // new york city
No school today due to the Getty Fire. Please stay safe! @ Curtis School Foundation https://t.co/iHz87On87l,34.212937121136044,-118.40507758925037,CurtisAlumni,"Los Angeles, CA","Los Angeles, CA"
@ABC7 #gettyfire watching @LAFD refuel the helicopters with water was awe inspiring for the amazing talent of first… https://t.co/DNlJZjpokQ,34.161954141292384,-118.56611553875244,LenaWasikowski,"Tarzana, Los Angeles","Los Angeles, CA"
"From Simi Valley to wine country, extreme winds and explosive fires maintain hold on California 
https://t.co/PvRF7GlcBq",34.04870728302396,-118.54318384875906,JamieXML,"Pacific Palisades, Los Angeles","Los Angeles, usually"
"Had to cancel work yesterday due to the terrifying Getty Fire. 
So happy to be back! 💜
.
.
#skincare90210… https://t.co/Ik9i1sk0C6",34.06051667106808,-118.39891480838722,RonitFalevitch,"Beverly Hills, CA","Beverly Hills, CA"
A wild fire burns in the hills near the Getty Center in Los Angeles. #gettyfire #wildfire #fire #losangeles @ Getty… https://t.co/C12kqF8AqM,34.21879970029516,-118.58480904681961,TedSoquiPhoto,"Los Angeles, CA",Los Angeles
Getty Center Fire #iamchrisyanke @ Getty Center https://t.co/wxk9KUNlCX,34.20511124768883,-118.3420540959545,chrisyanke,"Los Angeles, CA","Lake Balboa, Los Angeles"
Getty fire. This sucks! #LAfires #gettycenter #gettyfire #la @KTLA @CBSLA @ABC @UnivisionNews @TLMDPR @BBCBreaking https://t.co/fOkQtCOHv3,34.078309454378086,-118.4752106666565,fdepazLA,The Getty Center,
SITUATION: This is a very dynamic fire and all residents west of the 405 and south of Sunset need to be vigilant an… https://t.co/sEAqboAby2,33.92320757640896,-118.62246962963,MichelleNBCLA,"Los Angeles, CA",Los Angeles
"Brentwood Fire by Getty Center. Not good. 
@DanielleGersh @weatherchannel @LAFD @KNX1070 @LACoFDPIO https://t.co/acxwNcU0qj",34.049221710283966,-118.46097758321218,LA_trainr,Bandera,"Los Angeles, CA"
"Brentwood Hills and Getty Center areas on fire this morning. 
@DanielleGersh @weatherchannel @LAFD @LACoFDPIO https://t.co/cjeOlne2wm",34.049486557865116,-118.46242447409611,LA_trainr,Brenthood,"Los Angeles, CA"
"Fire outside my house .. LA hills , houses , hotels , schools all being destroyed.. #sadday @ Bel Air, Los Angeles https://t.co/SNGEjzOyyi",33.792181600447044,-118.36588156113679,ProdigyElit3,"Los Angeles, CA","San Antonio, TX"
Acabo de grabar este vídeo de camino a casa. Incendio en la carretera 405 a la altura del Getty Center. #losangeles… https://t.co/uJKAzoXSJF,34.1178656858567,-118.47890600902367,ChristianCorom,I-405 / Getty Center Dr,"Los Angeles, USA"
The Getty Fire in the hills of Los Angeles continues to burn slowly. #GettyFire #getty #LosAngeles #wildfire… https://t.co/hSnicx8Xn3,34.08307614319782,-118.5103028015539,TedSoquiPhoto,"Brentwood, Los Angeles",Los Angeles
"At 1:49 PM PDT, 9 ENE Santa Clarita [Los Angeles Co, CA] FIRE DEPT/RESCUE reports WILDFIRE. REPORTED AT 31600 TICK… https://t.co/WZurSy9tCv",36.22617204061981,-117.12354084378308,iembot_lox,"California, USA","Los Angeles/Oxnard, CA"
Fire and no electricity  https://t.co/Gz4NL4jw4K,34.412372,-118.405077,HYIMJEN,Sand Canyon Country Club,"Happiness, CA"
I’m driving right through the Maria Fire. Shit is wild,34.36987336896759,-119.09432493462464,cristiannrufino,"Santa Paula, CA",UCSB
"“Hey Siri.. 
is it possible for the Maria fire to jump the 126 and kill me while I sleep?”",34.38784641094026,-119.09049075925901,My_GERMSs,"Santa Paula, CA","Santa Paula, California"
"I'm at Ventira County Fire Department - Station 29 in Santa Paula, CA https://t.co/iZEZJbgWTG",34.36994637207997,-119.06581100038798,brianstatus,"Santa Paula, CA",
"Earlier today. Santa Paula on fire.....again
#SouthMountianFire https://t.co/Esk4qYcGGR",34.34940301655087,-119.06674614712038,Tetsu_no_kuma77,Isbell Middle School,"Santa Paula, CA"
"Scary , fire burned the SP on South Mountain. https://t.co/aXWc6auR2R",34.3581812,-119.04261063333334,CathiRico,Abrisa Industrial Glass,Santa Paula ca 
#MariaFire Updated size is just under 4000 acres still rapidly expanding. Visit https://t.co/TqQ6gyJ3Lc for evac or… https://t.co/9O2B5yXlGV,34.383254946467815,-119.0558693553888,VCFD_PIO,"Santa Paula, CA","Ventura County, CA"
#MariaFire Updated size is 750 acres and expanding. Fires will impact agricultural properties with houses on them.… https://t.co/u3aWMEKTge,34.384961440548274,-119.0437861804375,VCFD_PIO,"Santa Paula, CA","Ventura County, CA"
@Fire_Medic27 Brutal.,34.36023183546812,-119.04527733234349,EDnSantaPaula,"Santa Paula, CA",
Man....i was hoping this would pass on by. Rams twitter isnt as bad as Lakers twitter....add another log to the fir… https://t.co/q8ExZSAtPj,34.33032011359775,-119.03973711879588,EDnSantaPaula,"Santa Paula, CA",
I JUST missed the big 737 dropping fire retardant by the Santa Paula riverbed. Here is what I got. Kids: Never do t… https://t.co/MLWM5IHQ7D,34.37395492529309,-119.08926684421695,Chaz_in_Socal,"Santa Paula, CA",Southern California
